選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
辻　俊哉,オリックス,0.25,5,4,4,1,0,0,0,0,0,1,0,1,0.25,0.25,0.5,-0.95,-1.01,2010
清水　誉,阪神,0.25,3,4,4,1,0,0,0,0,0,2,0,0,0.25,0.25,0.5,1.89,1.89,2010
佐藤　友亮,西武,0.249,98,199,173,43,2,16,5,12,2,26,10,3,0.302,0.324,0.625,2.98,3.10,2010
堂上　剛裕,中日,0.247,58,104,97,24,2,17,0,4,0,18,2,2,0.275,0.361,0.635,3.18,3.20,2010
福地　寿樹,ヤクルト,0.246,98,225,203,50,1,11,23,10,8,46,4,2,0.308,0.315,0.623,3.84,3.78,2010
フィオ,広島,0.246,44,151,126,31,2,15,2,19,3,37,2,3,0.356,0.325,0.681,4.35,4.41,2010
橋本　将,横浜,0.246,43,148,134,33,2,13,0,13,1,40,0,3,0.318,0.328,0.646,3.58,3.47,2010
天谷　宗一郎,広島,0.245,123,382,335,82,6,35,18,37,6,72,1,3,0.328,0.343,0.671,4.03,4.15,2010
デントナ,ヤクルト,0.245,99,333,294,72,15,50,0,32,1,99,0,9,0.315,0.456,0.771,4.71,4.92,2010
陽　岱鋼,日本ハム,0.245,109,281,253,62,2,31,8,12,4,70,10,4,0.288,0.34,0.628,3.33,3.32,2010
谷繁　元信,中日,0.244,110,367,308,75,7,32,0,42,5,81,11,5,0.343,0.36,0.703,4.34,4.30,2010
古城　茂幸,巨人,0.244,67,96,82,20,2,7,2,10,3,17,1,3,0.347,0.329,0.677,3.86,3.90,2010
今浪　隆博,日本ハム,0.244,29,50,45,11,0,3,0,3,0,11,2,1,0.292,0.267,0.558,2.43,2.41,2010
高橋　信二,日本ハム,0.242,70,272,244,59,3,31,0,23,5,34,0,4,0.32,0.303,0.623,3.51,3.52,2010
